userid,recipeid,rating
174,103135,3
113,102487,2
179,102487,3
198,6090141,3
195,96870,2
194,7211001,1
181,98982,4
121,96073,2
105,6090141,3
187,103135,3
195,101233,4
110,103033,5
159,102539,5
173,98295,2
196,5148976,5
112,5257356,5
133,6361236,4
144,5148976,2
194,5702361,1
138,93580,1
139,5429051,2
153,6452101,3
151,3773471,5
157,93580,1
167,251191,4
172,96870,3
119,6550021,5
138,8682301,2
146,5373006,1
154,103033,4
158,6375671,2
139,3414146,4
192,4364906,3
176,3414146,5
165,3773471,2
174,7211001,2
119,98982,4
135,101064,5
177,98926,3
179,102539,1
150,6090141,3
113,6786961,5
144,101233,1
163,98295,2
149,98926,3
184,8862516,5
179,5792691,2
139,6993356,5
104,98295,3
162,6375671,5
192,5516611,5
108,6361236,4
167,3414146,2
196,6664526,2
178,8862516,1
123,6090141,3
123,103033,4
186,101233,4
175,8862516,4
191,5429051,5
195,98295,3
159,101233,2
196,98295,2
153,96414,2
138,96073,2
114,98926,1
150,6786961,2
145,5792691,1
191,4364906,4
107,3773471,3
154,95425,5
161,5516611,2
113,102487,4
193,5257356,1
151,101233,2
123,6361236,5
105,8862516,1
124,6090141,3
150,96870,2
122,6016461,3
176,6016461,2
132,101233,3
160,102539,2
142,6993356,5
182,5792691,2
143,103033,1
166,251191,5
185,5373006,2
157,103135,2
110,101233,1
176,103135,4
150,3414146,4
116,93580,2
182,98295,4
137,102539,3
189,93855,3
172,6361236,3
198,5257356,5
126,96414,2
169,96073,2
143,4422716,2
198,3414146,2
153,6452101,4
184,6375671,2
119,8862516,4
101,4364906,4
100,96073,1
107,102539,4
169,5702361,3
145,103135,3
128,101233,4
125,93580,4
179,98295,4
146,101064,3
193,98982,3
191,6090236,5
186,102539,3
165,5429051,3
129,6664526,3
153,3773471,3
101,101064,1
147,101233,2
190,6993356,3
114,96897,4
194,103033,5
117,6090141,2
111,99570,3
198,103033,3
193,7211001,1
159,101064,4
141,96414,2
147,6550021,2
134,5257356,2
107,96870,1
149,8682301,3
192,99570,3
198,6090141,4
178,6090236,1
137,93580,1
168,96073,2
153,3414146,1
136,5516611,2
174,5792691,4
179,3773471,4
149,6452101,4
187,98982,5
183,6016461,4
111,6993356,3
172,6016461,3
179,98926,2
160,103033,2
157,95425,2
182,101233,4
154,6375671,3
165,96897,1
186,5429051,5
108,93580,3
129,99570,1
197,5792691,1
176,3773471,5
167,93580,1
142,96073,5
176,99570,5
181,95425,5
165,5429051,2
125,6664526,3
128,6664526,1
118,6016461,1
175,95425,5
152,8682301,1
162,6375671,4
134,96414,4
168,4422716,2
169,101233,5
112,5516611,3
178,103135,5
149,95425,3
145,5792691,2
182,95425,3
132,4422716,4
193,102487,4
157,99570,4
148,96870,4
128,103033,2
173,6090141,5
113,98982,4
172,103135,3
106,251191,3
107,8862516,1
134,6550021,3
113,3414146,5
196,5516611,3
171,98295,2
140,103135,1
189,8682301,3
161,103033,4
124,6550021,2
166,98982,2
181,96073,4
182,3414146,2
153,5516611,5
193,7211001,5
173,6786961,4
112,8862516,4
182,4422716,3
137,6361236,3
124,93580,4
106,103033,4
107,6375671,1
122,99570,3
170,98982,4
100,96897,3
169,3414146,2
176,93855,4
151,96897,2
115,5148976,2
198,5429051,5
147,6090236,3
170,8682301,4
121,98982,3
170,98295,3
150,93855,3
162,8682301,1
176,93580,3
112,5148976,2
172,4364906,3
172,96870,5
199,98295,3
133,6786961,2
138,5257356,2
168,6016461,4
103,5516611,1
184,6452101,2
119,6452101,2
153,6090141,4
139,95425,2
109,101064,3
161,98982,2
178,96897,2
146,4364906,1
183,3414146,4
193,5516611,4
134,101233,5
156,95425,3
149,96414,2
188,5373006,1
161,101233,1
151,96870,3
112,102487,2
137,6016461,1
161,101064,4
130,96870,4
130,98926,1
122,6361236,4
106,5516611,1
157,4364906,2
186,5792691,2
168,6786961,4
153,102487,2
189,5702361,4
159,6993356,1
149,102487,2
178,7211001,3
160,6016461,5
115,8862516,4
119,101064,4
193,6090141,4
125,6786961,2
116,6375671,1
183,98926,3
168,6993356,4
112,6452101,1
106,93855,3
197,6361236,3
104,251191,1
120,98982,3
120,7211001,5
195,7211001,2
159,102487,2
174,99570,2
129,98295,4
184,102487,4
113,103033,5
110,96897,2
157,95425,4
177,96870,2
194,5516611,2
170,102539,4
146,102487,3
149,103135,4
176,98295,5
132,102539,3
125,101233,3
161,6375671,5
111,98295,5
185,99570,3
171,6090236,1
197,5516611,2
149,98982,4
149,5429051,4
137,6993356,4
110,102539,3
196,6452101,4
133,5373006,3
167,98295,3
170,6375671,3
150,6452101,3
163,5702361,3
111,5373006,3
115,5702361,5
152,93580,3
147,98926,4
182,102539,1
128,101233,2
190,5373006,3
189,6664526,4
102,96897,4
171,6090236,5
193,4364906,3
109,6090236,3
170,98295,2
197,96870,2
110,6993356,4
108,103135,5
144,5702361,2
152,93580,2
163,6090236,3
136,98982,5
185,98295,1
159,4422716,4
159,5148976,3
141,102539,4
102,5148976,3
123,8862516,3
109,98982,4
190,5792691,3
123,93580,4
193,4422716,4
125,6993356,4
146,98295,2
179,103135,1
170,98982,5
188,93855,2
125,3773471,4
109,8862516,5
167,6993356,4
130,103135,1
114,95425,3
195,102487,2
186,93580,3
107,96870,3
160,6993356,3
198,6016461,3
134,93580,2
169,93855,3
190,5257356,1
191,93855,4
169,6375671,3
147,5148976,2
150,96897,2
150,4422716,1
124,103135,2
171,6993356,2
158,93580,3
118,102487,4
143,5148976,3
124,102539,2
116,6786961,5
134,7211001,1
164,8682301,3
174,251191,2
173,4364906,4
162,96870,1
178,4364906,4
134,98982,4
105,251191,2
112,103135,5
147,6090141,1
167,93580,2
122,102487,2
114,6361236,3
166,5429051,4
183,6452101,4
173,6993356,2
181,95425,2
175,3773471,2
191,6664526,4
163,6361236,1
131,5429051,2
108,102539,5
124,6786961,1
104,7211001,5
116,96897,4
161,102539,4
185,5148976,2
129,102539,3
167,5702361,4
162,251191,1
141,5148976,1
194,95425,4
196,251191,2
127,8682301,3
111,6452101,4
137,4422716,3
189,3414146,3
178,6993356,2
115,3414146,4
176,96870,1
192,98295,1
104,3414146,3
175,8862516,2
196,5257356,3
197,96870,3
123,98926,2
106,93580,2
168,96414,3
186,96870,4
181,6090141,4
103,102487,3
147,3414146,4
119,93855,2
195,3414146,1
166,5429051,1
175,7211001,2
157,6090236,2
192,6375671,3
158,4422716,2
160,3773471,3
159,4422716,2
175,6090236,2
148,5516611,5
103,6090236,1
108,251191,3
154,96870,4
131,6550021,2
159,102539,4
109,4422716,3
127,96870,2
197,8862516,2
172,6090141,4
160,103033,3
112,4364906,1
170,5702361,3
131,96414,2
121,6090141,5
141,5148976,3
140,4422716,3
162,6016461,5
105,8862516,4
136,6361236,5
120,6452101,2
102,93580,5
149,5148976,1
113,3773471,4
106,96414,3
175,4364906,1
168,6090236,1
104,95425,4
127,6452101,3
187,98926,2
144,93855,3
174,8682301,4
166,251191,1
145,3773471,4
151,5257356,4
140,4364906,2
155,6375671,5
150,96414,4
135,6016461,2
192,251191,2
133,103135,2
134,6550021,2
154,101064,2
131,6664526,3
128,5429051,2
107,5792691,2
172,5429051,4
175,6016461,4
169,101064,3
186,96870,3
118,96897,4
101,98982,1
127,103135,3
132,98295,3
122,3414146,3
189,96073,2
188,7211001,4
101,98926,4
118,5257356,2
147,5516611,2
186,6090141,5
181,6786961,4
119,5516611,2
118,5792691,3
116,5516611,4
150,93580,2
150,6361236,2
150,251191,3
150,103135,2
150,102539,1
151,93580,2
151,6361236,2
151,251191,5
151,103135,2
151,102539,4
152,6361236,2
152,251191,2
152,103135,2
152,102539,1
160,93580,2
160,6361236,2
160,251191,4
160,103135,5
160,102539,1
170,93580,1
170,6361236,1
170,251191,3
170,103135,2
170,102539,1
190,93580,1
190,6361236,1
190,251191,3
190,103135,2
190,102539,1
108,93623,3
108,102408,3
108,96227,2
108,7211001,1
108,101064,4
108,96414,2
108,6550021,2
108,5257356,2
108,96870,1
108,8682301,3
108,99570,3
108,6090141,4
108,6090236,1
108,93580,1
108,96073,2
102,101064,5
102,96414,3
102,6550021,5
102,5257356,2
102,96870,3
102,8682301,3
102,99570,2
102,6090141,4
102,6090236,1
106,101064,4
106,96414,2
106,6550021,1
106,5257356,1
106,96870,1
106,8682301,1
106,99570,2
106,6090141,3
106,6090236,1
140,101064,4
140,96414,2
140,6550021,2
140,5257356,2
140,96870,1
140,8682301,3
140,99570,3
140,6090141,4
140,6090236,1
119,96414,2
119,6550021,1
119,5257356,1
119,96870,1
119,8682301,5
119,99570,2
119,6090141,3
119,6090236,5
111,101064,4
111,96414,2
111,6550021,2
111,5257356,5
111,96870,1
111,8682301,3
111,6090141,4
111,6090236,1
107,6375671,5
107,5516611,5
107,6361236,4
107,3414146,2
107,6664526,2
107,6090141,3
107,103033,4
107,101233,4
107,8862516,4
107,5429051,5
107,98295,2
107,98926,3
107,8862516,5
107,6993356,5
107,103033,3
107,6452101,4
107,102487,4
